Team,Goal_From,Goal_Against,Goal_Diff,Home_Lose,Away_Lose,Total_Lose,Home_Draw,Away_Draw,Total_Draw,Home_Win,Away_Win,Total_Win,Points,Season
Arsenal,71.0,36.0,35.0,4,9,13,3,2,5,12,8,20,65,2015
Southampton,54.0,33.0,21.0,2,6,8,6,8,14,11,5,16,62,2015
Aston Villa,31.0,57.0,-26.0,6,4,10,4,9,13,9,6,15,58,2015
Man City,83.0,38.0,45.0,5,6,11,6,6,12,8,7,15,57,2015
Everton,48.0,50.0,-2.0,5,6,11,4,8,12,10,5,15,57,2015
Swansea,46.0,49.0,-3.0,3,9,12,8,3,11,8,7,15,56,2015
Leicester,46.0,55.0,-9.0,6,7,13,6,4,10,7,8,15,55,2015
Hull,33.0,51.0,-18.0,6,7,13,5,5,10,8,7,15,55,2015
Man United,62.0,37.0,25.0,3,10,13,7,4,11,9,5,14,53,2015
Tottenham,58.0,53.0,5.0,7,6,13,3,8,11,9,5,14,53,2015
Sunderland,31.0,53.0,-22.0,3,12,15,7,1,8,9,6,15,53,2015
Liverpool,52.0,48.0,4.0,5,6,11,6,9,15,8,4,12,51,2015
Burnley,28.0,53.0,-25.0,3,10,13,8,4,12,8,5,13,51,2015
West Brom,38.0,51.0,-13.0,8,8,16,2,6,8,9,5,14,50,2015
Crystal Palace,47.0,51.0,-4.0,8,6,14,4,8,12,7,5,12,48,2015
Newcastle,40.0,63.0,-23.0,6,8,14,6,6,12,7,5,12,48,2015
West Ham,44.0,47.0,-3.0,7,10,17,5,4,9,7,5,12,45,2015
Stoke,48.0,45.0,3.0,5,9,14,8,6,14,6,4,10,44,2015
Chelsea,73.0,32.0,41.0,7,14,21,4,3,7,8,2,10,37,2015
QPR,42.0,73.0,-31.0,7,13,20,6,4,10,6,2,8,34,2015
