Team,Goal_From,Goal_Against,Goal_Diff,Home_Lose,Away_Lose,Total_Lose,Home_Draw,Away_Draw,Total_Draw,Home_Win,Away_Win,Total_Win,Points,Season
Man United,86,43,43,3,2,5,0,5,5,16,12,28,89,2013
Man City,66,34,32,2,4,6,3,6,9,14,9,23,78,2013
Chelsea,75,39,36,2,5,7,5,4,9,12,10,22,75,2013
Arsenal,72,37,35,3,4,7,5,5,10,11,10,21,73,2013
Tottenham,66,46,20,3,5,8,5,4,9,11,10,21,72,2013
Everton,55,40,15,1,6,7,6,9,15,12,4,16,63,2013
Liverpool,71,43,28,4,5,9,6,7,13,9,7,16,61,2013
West Brom,53,57,-4,6,11,17,4,3,7,9,5,14,49,2013
Swansea,47,51,-4,5,9,14,8,5,13,6,5,11,46,2013
West Ham,45,53,-8,4,12,16,6,4,10,9,3,12,46,2013
Norwich,41,58,-17,4,10,14,7,7,14,8,2,10,44,2013
Fulham,50,60,-10,9,8,17,3,7,10,7,4,11,43,2013
Stoke,34,45,-11,5,9,14,7,8,15,7,2,9,42,2013
Southampton,49,60,-11,6,9,15,7,7,14,6,3,9,41,2013
Aston Villa,47,69,-22,9,8,17,5,6,11,5,5,10,41,2013
Newcastle,45,68,-23,9,10,19,1,7,8,9,2,11,41,2013
Sunderland,41,54,-13,6,11,17,8,4,12,5,4,9,39,2013
Wigan,47,73,-26,9,11,20,6,3,9,4,5,9,36,2013
Reading,43,73,-30,7,15,22,8,2,10,4,2,6,28,2013
QPR,30,60,-30,9,12,21,8,5,13,2,2,4,25,2013
