ID,URL,Notice Type,Publication Date,Project ID,Bid Description,Procurement Type,Deadline Date,Country Code,Country Name,Major Sector
61791,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061791'},Contract Award,2018-11-22T00:00:00,P144637,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,CM,Cameroon,"Sub-National Government, Social Protection"
61843,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061843'},Contract Award,2018-11-22T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
61785,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061785'},Request for Expression of Interest,2018-11-22T00:00:00,P132123,"Ingénieur de recherche pour apporter une assistance technique            et une expertise pour la mise au point des méthodes de travail, des méthodes de mesure            et de quantification dans le cadre de la recherche",Consultants,2018-11-13T00:00:00,,Africa,"Public Administration - Agriculture, Fishing & Forestry, Fisheries"
61795,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061795'},Contract Award,2018-11-22T00:00:00,P154847,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,IN,India,"Other Agriculture, Fishing and Forestry, Other Public Administration, Other Water Supply, Sanitation and Waste Management, Other Energy and Extractives, Other Transportation"
61798,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061798'},Contract Award,2018-11-22T00:00:00,P154847,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,IN,India,"Other Agriculture, Fishing and Forestry, Other Public Administration, Other Water Supply, Sanitation and Waste Management, Other Energy and Extractives, Other Transportation"
61847,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061847'},Contract Award,2018-11-22T00:00:00,P126875,Supply of furniture and fittings for ESCBP,,,,Tanzania,"Other Energy and Extractives, Oil and Gas, Public Administration - Energy and Extractives"
61865,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061865'},Contract Award,2018-11-22T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
61762,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061762'},Request for Expression of Interest,2018-11-22T00:00:00,P162086,Financial Management System Strengthening in JUSNL,Consultants,2018-12-04T00:00:00,IN,India,
61768,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061768'},Contract Award,2018-11-22T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
61784,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061784'},Request for Expression of Interest,2018-11-22T00:00:00,P132123,"Responsable évaluation pour apporter la vision de            l'évaluation des stocks des espèces démersales ciblées (Poulpes, concombres de mer,            langouste, crevettes, calmar) en concertation avec la DGRH pour la mise en Åuuvre du            programme de Recherche",Consultants,2018-11-13T00:00:00,,Africa,"Public Administration - Agriculture, Fishing & Forestry, Fisheries"
61826,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061826'},Contract Award,2018-11-22T00:00:00,P160848,Fourniture et livraison kit vidéoconférence,,,MG,Madagascar,
61763,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061763'},Contract Award,2018-11-22T00:00:00,P102627,Construction of Panchayat Sarkar Bhawan in (i)Mustafapur            Panchyat in Block Bibhutipur & (ii) Kerai Panchyat inBlock Bibhutipur,,,IN,India,"Health, Other Water Supply, Sanitation and Waste Management, Sub-National Government"
61786,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061786'},Request for Expression of Interest,2018-11-22T00:00:00,P132123,Expert halieute pour une assistance technique pour la mise en            Åuuvre du programme de recherche.,Consultants,2018-11-13T00:00:00,,Africa,"Public Administration - Agriculture, Fishing & Forestry, Fisheries"
61844,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061844'},Contract Award,2018-11-22T00:00:00,P160848,Bureau d'étude chargé du contrôle des travaux extension            Bureau UCP,,,MG,Madagascar,
61772,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061772'},Contract Award,2018-11-22T00:00:00,P151746,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,UZ,Uzbekistan,"Other Agriculture, Fishing and Forestry, Other Information and Communications Technologies, Public Administration - Information and Communications Technologies, ICT Services"
61794,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061794'},Contract Award,2018-11-22T00:00:00,P154847,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,IN,India,"Other Agriculture, Fishing and Forestry, Other Public Administration, Other Water Supply, Sanitation and Waste Management, Other Energy and Extractives, Other Transportation"
61796,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061796'},Contract Award,2018-11-22T00:00:00,P150080,acquisition des fournitures de bureau au profit de l'UGP            du Projet SWEDD,,,,Western Africa,"Health, Secondary Education, Sub-National Government, Central Government (Central Agencies)"
61797,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061797'},Contract Award,2018-11-22T00:00:00,P154847,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,IN,India,"Other Agriculture, Fishing and Forestry, Other Public Administration, Other Water Supply, Sanitation and Waste Management, Other Energy and Extractives, Other Transportation"
61801,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061801'},Contract Award,2018-11-22T00:00:00,P152625,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,KZ,Kazakhstan,"Public Administration - Health, Health"
61809,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061809'},Contract Award,2018-11-22T00:00:00,P158505,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Djibouti,"Public Administration - Energy and Extractives, Energy Transmission and Distribution"
61813,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061813'},Contract Award,2018-11-22T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
61821,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061821'},Contract Award,2018-11-22T00:00:00,P160848,Travaux d'impression de 250 Booklets PNAN III,,,MG,Madagascar,
61828,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061828'},Contract Award,2018-11-22T00:00:00,P160848,Fourniture et livraison de 5000 clés USB,,,MG,Madagascar,
61838,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061838'},Contract Award,2018-11-22T00:00:00,P127725,Reference No. : BKBDP/RD/MA-1I) From PMGSY Road L. Sah Land to            Arun Swarnkar residance via Shivala wth 5 yr maint.II) From NH-107 to Malia Yadav Tola            with 5 yr maint. III) NH-107 Jitapur Chamgarh to,,,IN,India,"Other Transportation, Other Public Administration, Other Water Supply, Sanitation and Waste Management, Other Agriculture, Fishing and Forestry, Rural and Inter-Urban Roads"
61848,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061848'},Contract Award,2018-11-22T00:00:00,P158435,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,IN,India,
61833,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061833'},Contract Award,2018-11-22T00:00:00,P160848,Fourniture de 509 motos destinées à l'U-PNNC,,,MG,Madagascar,
61789,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061789'},Contract Award,2018-11-22T00:00:00,P156797,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NP,Nepal,"Public Administration - Agriculture, Fishing & Forestry, Agricultural markets, commercialization and agri-business, Livestock"
61780,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061780'},Contract Award,2018-11-22T00:00:00,P144637,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,CM,Cameroon,"Sub-National Government, Social Protection"
61805,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061805'},Contract Award,2018-11-22T00:00:00,P096302,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Tanzania,"Mining, Public Administration - Energy and Extractives"
61806,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061806'},Contract Award,2018-11-22T00:00:00,P096302,Procurement of 3 vehicles,,,,Tanzania,"Mining, Public Administration - Energy and Extractives"
61810,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061810'},Invitation for Bids,2018-11-22T00:00:00,P133312,Supply and installation of seven (7) household wiring demo-cubicles,Goods and Works,2019-01-07T00:00:00,UG,Uganda,Renewable Energy Solar
61829,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061829'},Contract Award,2018-11-22T00:00:00,P160848,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,MG,Madagascar,
61761,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061761'},Contract Award,2018-11-22T00:00:00,P150220,"Electrical Equipment for PIU: Micro oven, Refrigerator,            Voltage stabilizer and LED TV etc.",,,BD,Bangladesh,"Public Administration - Agriculture, Fishing & Forestry, Other Agriculture, Fishing and Forestry, Public Administration - Water, Sanitation and Waste Management, Other Water Supply, Sanitation and Waste Management"
61765,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061765'},Contract Award,2018-11-22T00:00:00,P102627,Construction of Panchayat Sarkar Bhawan in (i)Ganwpur            Panchayat in Block Ujiyarpur,,,IN,India,"Health, Other Water Supply, Sanitation and Waste Management, Sub-National Government"
61781,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061781'},Contract Award,2018-11-22T00:00:00,P150929,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,BI,Burundi,"Public Administration - Water, Sanitation and Waste Management, Sanitation, Other Public Administration, Other Water Supply, Sanitation and Waste Management, Rural and Inter-Urban Roads"
61799,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061799'},Contract Award,2018-11-22T00:00:00,P154847,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,IN,India,"Other Agriculture, Fishing and Forestry, Other Public Administration, Other Water Supply, Sanitation and Waste Management, Other Energy and Extractives, Other Transportation"
61804,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061804'},Contract Award,2018-11-22T00:00:00,P096302,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Tanzania,"Mining, Public Administration - Energy and Extractives"
61845,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061845'},Contract Award,2018-11-22T00:00:00,P158435,"SELECTION OF A HUMAN RESOURCE AGENCY FOR HIRING AND OTHER            RELATED FUNCTIONS UNDER ""SKILL INDIA MISSION OPERATION""",,,IN,India,
61846,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061846'},Contract Award,2018-11-22T00:00:00,P123394,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,PK,Pakistan,"Health, Public Administration - Health"
61855,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061855'},Invitation for Bids,2018-11-22T00:00:00,P091092,"Pose des 25.000 branchements sociaux et les opérations            compteurs par des petites et moyennes entreprises en plusieurs lots"".",Goods and Works,2019-01-09T00:00:00,ZR,"Congo, Democratic Republic of","Public Administration - Water, Sanitation and Waste Management, Water Supply"
61864,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061864'},Contract Award,2018-11-22T00:00:00,P144637,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,CM,Cameroon,"Sub-National Government, Social Protection"
61778,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061778'},Contract Award,2018-11-22T00:00:00,P158505,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Djibouti,"Public Administration - Energy and Extractives, Energy Transmission and Distribution"
61858,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061858'},Contract Award,2018-11-22T00:00:00,P151492,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Somalia,"Sub-National Government, Other Public Administration"
61850,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061850'},Contract Award,2018-11-22T00:00:00,P144637,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,CM,Cameroon,"Sub-National Government, Social Protection"
61811,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061811'},Contract Award,2018-11-22T00:00:00,P150220,Web Based Software for mobilizing average rainfall & hail            storm data,,,BD,Bangladesh,"Public Administration - Agriculture, Fishing & Forestry, Other Agriculture, Fishing and Forestry, Public Administration - Water, Sanitation and Waste Management, Other Water Supply, Sanitation and Waste Management"
61814,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061814'},Contract Award,2018-11-22T00:00:00,P126875,Supply of office equipment for ESCBP under World Bank Project.,,,,Tanzania,"Other Energy and Extractives, Oil and Gas, Public Administration - Energy and Extractives"
61849,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061849'},Contract Award,2018-11-22T00:00:00,P110693,"Construction of Administration hall, Exhibition hall, bus            station, security station, fencing system of the New Campus of Vietnamese - German University",,,VN,Vietnam,"Public Administration - Education, Tertiary Education"
61852,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061852'},Contract Award,2018-11-22T00:00:00,P106975,Contrôle et supervision de la fourniture et travaux de            construction de 20 nouveaux postes de transformation électrique et lignes MT/BT à Brazzaville,,,,"Congo, Republic of","Public Administration - Energy and Extractives, Public Administration - Water, Sanitation and Waste Management, Water Supply, Sub-National Government"
61863,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061863'},Contract Award,2018-11-22T00:00:00,P144637,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,CM,Cameroon,"Sub-National Government, Social Protection"
61766,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061766'},Contract Award,2018-11-22T00:00:00,P102627,Construction of Panchayat Sarkar Bhawan in (i)Alampur Kodaria            Panchyat in Block Bibhutipur & (ii) Kalayanpur Panchyat in Block Bibhutipur,,,IN,India,"Health, Other Water Supply, Sanitation and Waste Management, Sub-National Government"
61773,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061773'},Contract Award,2018-11-22T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
61779,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061779'},Contract Award,2018-11-22T00:00:00,P123394,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,PK,Pakistan,"Health, Public Administration - Health"
61815,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061815'},Contract Award,2018-11-22T00:00:00,P161590,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,"Congo, Republic of",
61856,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061856'},Contract Award,2018-11-22T00:00:00,P144637,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,CM,Cameroon,"Sub-National Government, Social Protection"
61807,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061807'},Contract Award,2018-11-22T00:00:00,P102627,Construction of Panchayat Sarkar Bhawan in (i)Chaita Uttari            Panchayat in Block Ujiyarpur & (ii) Lohangeer Panchayat in Block Ujiyarpur,,,IN,India,"Health, Other Water Supply, Sanitation and Waste Management, Sub-National Government"
61825,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061825'},Contract Award,2018-11-22T00:00:00,P160848,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,MG,Madagascar,
61830,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061830'},Contract Award,2018-11-22T00:00:00,P160848,Travaux de réhabilitation de Bureau de l'UCP à            Ambohimiandra Antananarivo,,,MG,Madagascar,
61769,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061769'},Request for Expression of Interest,2018-11-22T00:00:00,P149610,"The objective is to express a professional opinion on the            project's financial position as at the end of December 31, 2018, 2019 and 2020, and            of the income and expenditure for the accounting period ending on these dates.",Consultants,2018-12-07T00:00:00,UZ,Uzbekistan,
61770,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061770'},Invitation for Bids,2018-11-22T00:00:00,P145234,Purchase of laptops for PMU and geophysical data processing            & interpretation hardware for MoPM and NOCK,Goods and Works,2018-12-21T00:00:00,KE,Kenya,"Oil and Gas, Public Administration - Energy and Extractives"
61764,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061764'},Invitation for Bids,2018-11-22T00:00:00,P158798,Supply and Installation of PEN Culture at various locations            under Fisheries domain,Goods and Works,2018-11-27T00:00:00,IN,India,"Public Administration - Agriculture, Fishing & Forestry, Agricultural markets, commercialization and agri-business, Public Administration - Industry, Trade and Services, Other Agriculture, Fishing and Forestry"
61771,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061771'},Contract Award,2018-11-22T00:00:00,P126661,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Africa,Other Energy and Extractives
61783,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061783'},Contract Award,2018-11-22T00:00:00,P144637,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,CM,Cameroon,"Sub-National Government, Social Protection"
61819,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061819'},Contract Award,2018-11-22T00:00:00,P160848,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,MG,Madagascar,
61832,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061832'},Contract Award,2018-11-22T00:00:00,P160848,Fourniture de matériels anthropométriques destinés aux sites communautaires,,,MG,Madagascar,
61760,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061760'},Contract Award,2018-11-22T00:00:00,P096302,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Tanzania,"Mining, Public Administration - Energy and Extractives"
61715,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061715'},Request for Expression of Interest,2018-11-22T00:00:00,P157963,Micro-finance Services,Consultants,2018-12-07T00:00:00,LA,Lao People's Democratic Republic,
61545,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061545'},Invitation for Bids,2018-11-22T00:00:00,P115592,Adquisición de equipo fotográfico y audiovisual para la Unidad            de comunicaciones del PBVM 1.2.243,Goods and Works,2018-11-26T00:00:00,HN,Honduras,"Public Administration - Social Protection, Social Protection"
61756,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061756'},Contract Award,2018-11-22T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
61757,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00061757'},Contract Award,2018-11-22T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
