ID,URL,Notice Type,Publication Date,Project ID,Bid Description,Procurement Type,Deadline Date,Country Code,Country Name,Major Sector
63137,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063137'},General Procurement Notice,2018-12-16T00:00:00,P167000,,,,EG,"Egypt, Arab Republic of",
63122,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063122'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for North East region: Province Baghlan (            Puli-e-Khumri 69 CDCs and Baghlan-e-Jadid 166 CDCs) Total CDCs 235,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63128,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063128'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for Central Region: Wardak (Maydan Shahr 36 CDCs)            Logar (Khoshi 54 and Pol-i-Alam 165 CDCs) Total CDCs 255,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63129,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063129'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for South West region: Province Zabul (Qalat 137            CDCs) Province Uruzgan (Tarin Kowt 141 CDCs) Total CDCs 278,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63135,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063135'},Contract Award,2018-12-16T00:00:00,P163857,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Somalia,"Sub-National Government, Rural and Inter-Urban Roads, Social Protection"
63131,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063131'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for South West region: Helmand province            (Nawa-e-barakzai 153 CDCs) and lashkargah 113 CDCs) Total CDCs 266,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63141,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063141'},Contract Award,2018-12-16T00:00:00,P130548,Consultancy Services for Social Assessment and Resettlement            Action Plan for Appraisal Projects in Greater Kandy and Greater Galle area,,,LK,Sri Lanka,"Sub-National Government, Other Water Supply, Sanitation and Waste Management, Urban Transport"
63113,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063113'},Contract Award,2018-12-16T00:00:00,P124015,Fourniture de matériel informatique et de sécurité incendie,,,BF,Burkina Faso,"Public Administration - Social Protection, Social Protection"
63127,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063127'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for North East region: Province Takhar (Baharak            77 CDCs and Taluqan 231 CDCs) Total CDCs 308,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63117,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063117'},Contract Award,2018-12-16T00:00:00,P129156,supply of range and pasture seeds,,,,Sudan,"Public Administration - Agriculture, Fishing & Forestry, Other Water Supply, Sanitation and Waste Management, Forestry"
63118,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063118'},Contract Award,2018-12-16T00:00:00,P129156,supply of range and pasture seeds,,,,Sudan,"Public Administration - Agriculture, Fishing & Forestry, Other Water Supply, Sanitation and Waste Management, Forestry"
63119,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063119'},Contract Award,2018-12-16T00:00:00,P129156,supply of range and pasture seeds,,,,Sudan,"Public Administration - Agriculture, Fishing & Forestry, Other Water Supply, Sanitation and Waste Management, Forestry"
63134,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063134'},Contract Award,2018-12-16T00:00:00,P163857,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Somalia,"Sub-National Government, Rural and Inter-Urban Roads, Social Protection"
63139,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063139'},Contract Award,2018-12-16T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
63132,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063132'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for South West region: Province Nimroz (Zaranj            125 CDCs) and (Chahar Burjak 41 CDCs) Total CDCs 166,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63133,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063133'},Contract Award,2018-12-16T00:00:00,P159655,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,AF,Afghanistan,Central Government (Central Agencies)
63123,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063123'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for North East region: Province Badakhshan            (Darayim 80 CDCs and Fayazbad 116 CDCs) Total CDCs 196,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63124,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063124'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for East region: Province Konar (Asad Abad 37            CDCs and Narang wa badil 43 CDCs) Province Nuristan (patun 39 and Wama 41 CDCs) Total            CDCs 160,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63126,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063126'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for West region: Province Ghor (Chakharan 235            CDCs) Total CDCs 235,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63130,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063130'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for East region: province Laghman (Mihtarlam 154            CDCs and Qarghayi 108 CDCs) Total CDCs 262,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63138,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063138'},Contract Award,2018-12-16T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
63125,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063125'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for West region: Province Badghis (Qala-e-Naw 67            CDCs and Jawand 88 CDCs) province Farah (Farah 104 CDCs)Total CDCs,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63121,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063121'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for South East region: Province Ghazni (Ghazni            Town 127 CDCs) Province Paktika (Sharana 69 CDCs) Total CDCs 196,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63140,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063140'},Contract Award,2018-12-16T00:00:00,P130548,Consultancy Services for Environment Assessment for Appraisal            Projects in Greater Kandy and Greater Galle area,,,LK,Sri Lanka,"Sub-National Government, Other Water Supply, Sanitation and Waste Management, Urban Transport"
63115,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063115'},Contract Award,2018-12-16T00:00:00,P124015,"35 kits de dissémination audio-visuelle (projecteurs pico,            enceintes,cartes mémoires et adaptateurs) pour la sensibilisation",,,BF,Burkina Faso,"Public Administration - Social Protection, Social Protection"
63120,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063120'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for FP for North East region: Province Kunduz (            Ali Abad 52 CDCs and Kunduz 151 CDCs) Total CDCs 213,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63112,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063112'},Contract Award,2018-12-16T00:00:00,P159655,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,AF,Afghanistan,Central Government (Central Agencies)
63114,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063114'},Contract Award,2018-12-16T00:00:00,P124015,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,BF,Burkina Faso,"Public Administration - Social Protection, Social Protection"
63136,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063136'},Contract Award,2018-12-16T00:00:00,P163857,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Somalia,"Sub-National Government, Rural and Inter-Urban Roads, Social Protection"
63116,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063116'},Contract Award,2018-12-16T00:00:00,P124015,Acquisition de sacs solaires au profit du projet,,,BF,Burkina Faso,"Public Administration - Social Protection, Social Protection"
63107,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063107'},Contract Award,2018-12-15T00:00:00,P106216,"Procurement of Computer, Laptop, Printer and accessories for BdREN",,,BD,Bangladesh,"Public Administration - Education, Tertiary Education"
63111,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063111'},Contract Award,2018-12-15T00:00:00,P153420,Acquisition de 120 Smartphones au profit de SIM BETAIL,,,,Niger,
63109,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063109'},Contract Award,2018-12-15T00:00:00,P146933,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,"Congo, Republic of","Other Water Supply, Sanitation and Waste Management, Urban Transport, Social Protection, Other Energy and Extractives, Other Public Administration"
63108,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063108'},Contract Award,2018-12-15T00:00:00,P150080,"IMPRESSION DES DOCUMENTS DES ESPACES SÜRS (curriculum, guide            du mentor, manuel de suivi etc.)",,,,Western Africa,"Health, Secondary Education, Sub-National Government, Central Government (Central Agencies)"
63110,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063110'},Contract Award,2018-12-15T00:00:00,P145263,Contrat de fourniture relatif à l'acquisition du matériel            informatique du projet Lisungi,,,,"Congo, Republic of","Public Administration - Social Protection, Social Protection"
62790,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00062790'},Invitation for Bids,2018-12-15T00:00:00,P115592,Segunda Adquisición de Equipo Informático para el            funcionamiento de la UCP/SSIS1.2.251,Goods and Works,2018-12-19T00:00:00,HN,Honduras,"Public Administration - Social Protection, Social Protection"
63105,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063105'},Invitation for Bids,2018-12-15T00:00:00,P165218,SPSS (licencias 3),Goods and Works,2019-01-18T00:00:00,HN,Honduras,
63106,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063106'},Invitation for Bids,2018-12-15T00:00:00,P165218,Stata (licencia 5 usuarios),Goods and Works,2019-01-08T00:00:00,HN,Honduras,
63104,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063104'},Invitation for Bids,2018-12-15T00:00:00,P126452,REFORMAS E AMPLIAÇÕES DAS ESCOLAS REMANESCENTE DOS BLOCOS I e II,Goods and Works,2019-01-17T00:00:00,BR,Brazil,"Health, Public Administration - Social Protection, Other Education, Other Agriculture, Fishing and Forestry, Sub-National Government"
63062,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063062'},Contract Award,2018-12-14T00:00:00,P144637,construction d'un bloc de deux salles de classe équipés à            EP de Guereté dans la Commune de Barndaké,,,CM,Cameroon,"Sub-National Government, Social Protection"
63064,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063064'},General Procurement Notice,2018-12-14T00:00:00,P159697,,,,,Cote d'Ivoire,
63066,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063066'},Contract Award,2018-12-14T00:00:00,P130548,Refurbishment to existing public convenience at new market in Jaffna,,,LK,Sri Lanka,"Sub-National Government, Other Water Supply, Sanitation and Waste Management, Urban Transport"
63067,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063067'},Contract Award,2018-12-14T00:00:00,P144637,Construction d'un bloc de deux salles de classes équipées            et d'un bloc de latrines à quatre cabines au CES de Sangueré Ngal dans la Commune            de d'arrondissement de Garoua III,,,CM,Cameroon,"Sub-National Government, Social Protection"
63070,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063070'},Contract Award,2018-12-14T00:00:00,P155412,"Expenses for publications (printing, publications).",,,KG,Kyrgyz Republic,"Agricultural markets, commercialization and agri-business, Agricultural Extension, Research, and Other Support Activities, Livestock"
63068,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063068'},Contract Award,2018-12-14T00:00:00,P130548,Refurbishment to existing public convenience at bus stand in Jaffna,,,LK,Sri Lanka,"Sub-National Government, Other Water Supply, Sanitation and Waste Management, Urban Transport"
63077,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063077'},Contract Award,2018-12-14T00:00:00,P155658,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Africa,"Public Administration - Health, Public Administration - Energy and Extractives, Mining, Health"
63078,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063078'},Contract Award,2018-12-14T00:00:00,P129516,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,ML,Mali,"Central Government (Central Agencies), Public Administration - Agriculture, Fishing & Forestry, Sub-National Government, Social Protection, Other Agriculture, Fishing and Forestry"
63072,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063072'},Contract Award,2018-12-14T00:00:00,P130548,Reinstatement of Kachcheri Forest Lane Drainage in Jaffna,,,LK,Sri Lanka,"Sub-National Government, Other Water Supply, Sanitation and Waste Management, Urban Transport"
63079,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063079'},Contract Award,2018-12-14T00:00:00,P133133,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,ET,Ethiopia,"Public Administration - Agriculture, Fishing & Forestry, Irrigation and Drainage, Other Agriculture, Fishing and Forestry"
63080,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063080'},Request for Expression of Interest,2018-12-14T00:00:00,P158798,Hiring of TSA for Development of MIS for JSLPS.The TSA will            engage for the JSLPS and required support will be provided to all the project including            JOHAR. 38 percentage of the expenditure shall be met from JOHAR.,Consultants,2019-01-11T00:00:00,IN,India,"Public Administration - Agriculture, Fishing & Forestry, Agricultural markets, commercialization and agri-business, Public Administration - Industry, Trade and Services, Other Agriculture, Fishing and Forestry"
63081,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063081'},Contract Award,2018-12-14T00:00:00,P155658,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Africa,"Public Administration - Health, Public Administration - Energy and Extractives, Mining, Health"
63073,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063073'},Contract Award,2018-12-14T00:00:00,P143988,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,MM,Myanmar,Non-Renewable Energy Generation
63082,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063082'},Contract Award,2018-12-14T00:00:00,P144726,"Construction of Multipurpose Cyclone Shelter(MPCS) & Fire            Station at Porvorim in Plot-F under Survey No. 129/1-A, in V.P Penha De Franca of Bardez            Taluka, North Goa",,,IN,India,"Sub-National Government, Other Public Administration, Other Water Supply, Sanitation and Waste Management, Rural and Inter-Urban Roads"
63083,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063083'},Contract Award,2018-12-14T00:00:00,P146933,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,"Congo, Republic of","Other Water Supply, Sanitation and Waste Management, Urban Transport, Social Protection, Other Energy and Extractives, Other Public Administration"
63084,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063084'},Contract Award,2018-12-14T00:00:00,P155658,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Africa,"Public Administration - Health, Public Administration - Energy and Extractives, Mining, Health"
63085,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063085'},Contract Award,2018-12-14T00:00:00,P148797,AUDIT FINANCIERE ET COMPTABLE DES ETATS FINANCIERES DU PROJET PUASEE,,,,Guinea-Bissau,"Water Supply, Energy Transmission and Distribution, Central Government (Central Agencies)"
63086,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063086'},Invitation for Bids,2018-12-14T00:00:00,P133828,Supply of IT equipment for Georgian Amelioration,Goods and Works,2019-01-25T00:00:00,GE,Georgia,"Public Administration - Agriculture, Fishing & Forestry, Irrigation and Drainage"
63087,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063087'},Contract Award,2018-12-14T00:00:00,P155658,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Africa,"Public Administration - Health, Public Administration - Energy and Extractives, Mining, Health"
63088,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063088'},Contract Award,2018-12-14T00:00:00,P133133,Procurement of Poultry cockerels 2017/18 (For Gambela Region),,,ET,Ethiopia,"Public Administration - Agriculture, Fishing & Forestry, Irrigation and Drainage, Other Agriculture, Fishing and Forestry"
63089,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063089'},Contract Award,2018-12-14T00:00:00,P158347,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,XK,Kosovo,Central Government (Central Agencies)
63090,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063090'},Contract Award,2018-12-14T00:00:00,P158347,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,XK,Kosovo,Central Government (Central Agencies)
63091,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063091'},Contract Award,2018-12-14T00:00:00,P149620,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,MZ,Mozambique,"Rural and Inter-Urban Roads, Irrigation and Drainage, Public Administration - Agriculture, Fishing & Forestry, Other Agriculture, Fishing and Forestry, Agricultural markets, commercialization and agri-business"
63060,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063060'},Invitation for Prequalification,2018-12-14T00:00:00,P131290,1.1.1. Health Information Exchange Platform,Goods and Works,2019-01-24T00:00:00,MN,Mongolia,Health
63063,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063063'},Contract Award,2018-12-14T00:00:00,P144637,construction d'un bloc de deux salles de classe équipés à            EP de Guibdjol dans la Commune de Barndaké,,,CM,Cameroon,"Sub-National Government, Social Protection"
63065,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063065'},Contract Award,2018-12-14T00:00:00,P152910,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,"Congo, Republic of","Secondary Education, Primary Education, Public Administration - Education"
63069,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063069'},Request for Expression of Interest,2018-12-14T00:00:00,P154807,TA Market Assessment of the Health Sector in Sierra Leone,Consultants,2019-01-04T00:00:00,,Western Africa,"Social Protection, Agricultural Extension, Research, and Other Support Activities, Health, Public Administration - Health"
63074,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063074'},Contract Award,2018-12-14T00:00:00,P130548,Construction of Public Conveniences at Kaakaithivu Market in Jaffna,,,LK,Sri Lanka,"Sub-National Government, Other Water Supply, Sanitation and Waste Management, Urban Transport"
63092,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063092'},Request for Expression of Interest,2018-12-14T00:00:00,P163794,"Consultancy Services for Detailed Engineering Design, and            Construction Supervision and Verification of Household Sanitation Facilities in Lilongwe",Consultants,2019-01-31T00:00:00,MW,Malawi,"Sanitation, Water Supply"
63093,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063093'},Contract Award,2018-12-14T00:00:00,P157671,Fornecimento de 18 cofres e 36 armários,,,AO,Angola,"ICT Infrastructure, Central Government (Central Agencies)"
63094,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063094'},Request for Expression of Interest,2018-12-14T00:00:00,P156422,Recrutement d'une ONG sur l'extension des approches            et outils de la budgétisation participative et du suivi-évaluation participatif dans 10            communes rurales de la Région de la Base Guinée,Consultants,2019-01-03T00:00:00,GN,Guinea,"Other Education, Health, Sanitation, Other Agriculture, Fishing and Forestry, Sub-National Government"
63095,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063095'},Request for Expression of Interest,2018-12-14T00:00:00,P156422,Recrutement d'une ONG sur l'extension des approches            et outils de la budgétisation participative et du suivi-évaluation participatif dans 10            communes rurales de la Région de Haute Guinée,Consultants,2019-01-03T00:00:00,GN,Guinea,"Other Education, Health, Sanitation, Other Agriculture, Fishing and Forestry, Sub-National Government"
63096,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063096'},Request for Expression of Interest,2018-12-14T00:00:00,P150080,Etudes architecturales t préparation des DAO pur la            réhabilitation des locaux du LNCQ,Consultants,2018-12-31T00:00:00,,Western Africa,"Health, Secondary Education, Sub-National Government, Central Government (Central Agencies)"
63059,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063059'},Invitation for Bids,2018-12-14T00:00:00,P150520,"Design and build W/S Sys. incl. WTP, Clear & Raw Water PS,            CW Transmission mains upto OHSRs of existing Villages. Inst. ofBlk Water Meters, Silent            Generator, Transformer, SCADA/PLC for prov. W/S to 40 villages of various blocks of            Gurdaspur& 10 yrs O&M",Goods and Works,2019-01-22T00:00:00,IN,India,"Public Administration - Water, Sanitation and Waste Management, Water Supply, Sanitation"
63061,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063061'},Contract Award,2018-12-14T00:00:00,P144637,"Réalisation d'un forage équipé de Pompe à Motricité            Humaine dans chacune des localités de: Ouro Siddiki, Djabawa, Djamtari et Tcharatché            Gadamayo dans la commune de Barndaké",,,CM,Cameroon,"Sub-National Government, Social Protection"
63071,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063071'},Contract Award,2018-12-14T00:00:00,P130548,Reinstatement of Yamuna Road Drainage & Grusolt Veethy to            Mathews Road Drainage in Jaffna,,,LK,Sri Lanka,"Sub-National Government, Other Water Supply, Sanitation and Waste Management, Urban Transport"
63075,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063075'},Contract Award,2018-12-14T00:00:00,P143988,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,MM,Myanmar,Non-Renewable Energy Generation
63076,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063076'},Contract Award,2018-12-14T00:00:00,P149323,CONFECTION DE GILET CHAPEAU ET SAC POUR LES MERES LEADERS ET            LES COMITES DE PROTECTION SOCIALE,,,MG,Madagascar,"Public Administration - Social Protection, Social Protection"
63103,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063103'},Invitation for Bids,2018-12-14T00:00:00,P128307,Closed Framework Agreement (Second stage of Agr-01).,Goods and Works,2019-01-22T00:00:00,PK,Pakistan,"Livestock, Fisheries, Agricultural markets, commercialization and agri-business, Agricultural Extension, Research, and Other Support Activities, Crops"
63099,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063099'},Contract Award,2018-12-14T00:00:00,P121019,"Consultancy to undertake a PPP Feasibility Study for the            Development, Operation & Maintenance of a 300-Bed Private Hospital",,,KE,Kenya,"Capital Markets, Other Energy and Extractives, Other Transportation, Central Government (Central Agencies), Public Administration - Financial Sector"
63101,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063101'},Contract Award,2018-12-14T00:00:00,P132381,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,TN,Tunisia,"Ports/Waterways, Public Administration - Industry, Trade and Services, Other Non-bank Financial Institutions, Banking Institutions, Trade"
63100,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063100'},Invitation for Bids,2018-12-14T00:00:00,P147278,CONTRATO DE REHABILITACION Y MANTENIMIENTO (CREMA) MALLASUR:            SAN JUAN BAUTISTA - ENCARNACIÓN,Goods and Works,2019-01-09T00:00:00,PY,Paraguay,
63102,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063102'},Request for Expression of Interest,2018-12-14T00:00:00,P149714,Etude de modélisation avancée des services éco-systémiques            dans le Delta intérieur du Niger (contrat 4),Consultants,2018-12-15T00:00:00,,Western Africa,
63098,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063098'},Request for Expression of Interest,2018-12-14T00:00:00,P148013,PR and Communication Consultant for KingstOOn 3,Consultants,2018-12-21T00:00:00,JM,Jamaica,"Other Information and Communications Technologies, Public Administration - Information and Communications Technologies, Other Education, ICT Services, Social Protection"
63097,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063097'},Request for Expression of Interest,2018-12-14T00:00:00,P148013,Events Manager for KingstOOn 3,Consultants,2018-12-21T00:00:00,JM,Jamaica,"Other Information and Communications Technologies, Public Administration - Information and Communications Technologies, Other Education, ICT Services, Social Protection"
63058,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063058'},Contract Award,2018-12-14T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
60639,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00060639'},Invitation for Bids,2018-12-13T00:00:00,P125565,"P1B- Ligne et Poste HTA & Poste HTB & Câble Fluvial            Protection Télécom et Téléconduite3 lotsLot 1 : L21 -Dévelop Ventes et Amél Qualité            Service Mbour, Joal, Kayar, BayakhLot 2 : L16 - Kédougou - P1B Bis :de SARAYA,            BANDALot3: Rempla Câble FluV S",Goods and Works,2019-01-09T00:00:00,SN,Senegal,"Public Administration - Energy and Extractives, Energy Transmission and Distribution"
62337,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00062337'},Request for Expression of Interest,2018-12-13T00:00:00,P161122,"Plan and implementation of a new organization structure of the            company, a modern and effective financial accounting system and implementation of a            railway infrastructure and a rail operations asset management system",Consultants,2018-12-28T00:00:00,BA,Bosnia and Herzegovina,
62982,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00062982'},Invitation for Bids,2018-12-13T00:00:00,P132750,"Periodic Maintenance of Mudli -Tulsi barwa-Road (6 Km), Muldi            tindubiya-sabithawa road(6 km), bedhihari birta basantapur road (6 km)            padamsadak-bahuwari (6km) and baghi patelchok road (9 km)",Goods and Works,2019-01-04T00:00:00,NP,Nepal,"Public Administration - Transportation, Rural and Inter-Urban Roads"
62988,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00062988'},Contract Award,2018-12-13T00:00:00,P152698,Procurement of Normal Liquid Scintillation Counter (NLSC),,,IN,India,"Public Administration - Water, Sanitation and Waste Management, ICT Services, Other Water Supply, Sanitation and Waste Management"
63006,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063006'},Contract Award,2018-12-13T00:00:00,P123394,Delivered ACs as per Supply/Work order,,,PK,Pakistan,"Health, Public Administration - Health"
63012,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063012'},Contract Award,2018-12-13T00:00:00,P130548,Construction of Culvert & Rubble Masonry Retaining Wall            between 3+208km to 3+224km Road Sections on Katugastota-Madawala-Bambarella Road (B-205),,,LK,Sri Lanka,"Sub-National Government, Other Water Supply, Sanitation and Waste Management, Urban Transport"
